uniprot,pdb
O00141,2R5T
O00206,2Z62
O00222,6BSZ
O00238,3MDY
O00255,3U84
O00329,5DXU
O00408,1Z1L
O00443,2AR5
O00482,1YOK
O00763,2DN8
O14672,6BDZ
O14727,1C15
O14733,2DYL
O14744,4GQB
O14746,2BCK
O14757,1IA8
O14786,1KEX
O14920,3BRT
O14939,6OHM
O15054,2XUE
O15066,3B6U
O15151,2CR8
O15244,8ET9
O15245,8ET6
O15264,3COI
O15296,4NRE
O15305,2AMY
O15379,4A69
O15438,8HVH
O15439,8BJF
O15440,8KCI
O15527,1EBM
O15530,1H1W
O43189,2E5P
O43193,8IBU
O43293,1YRP
O43318,2EVA
O43353,2N7Z
O43497,6KZO
O43570,1JCZ
O43683,2LAH
O43739,4KAX
O60341,2COM
O60563,2PK2
O60658,3ECM
O60678,2FYT
O60885,2I8N
O75173,2RJP
O75365,1R6H
O75460,2HZ6
O75469,1ILG
O75530,3IIW
O75582,1VZO
O75604,2HD5
O75608,1FJ2
O75688,2P8E
O75908,7N6Q
O75914,6FD3
O76074,1RKP
O76083,2HD1
O94760,2JAI
O94788,4X2Q
O94806,2D9Z
O95050,2A14
O95271,2RF5
O95551,5INO
O95622,8SL3
O95749,2Q80
O95819,4OBO
O96013,2BVA
O96017,1GXC
P00338,1I10
P00374,1BOZ
P00390,1ALG
P00451,1CFG
P00519,1AB2
P00533,1IVO
P00740,1CFH
P00749,1C5W
P00750,1A5H
P00797,1BBS
P01042,1NY2
P01106,1A93
P01112,121P
P02708,4ZJS
P03372,1A52
P03951,1XX9
P04035,1DQ8
P04049,1C1Y
P04053,2COE
P04062,1OGS
P04070,1AUT
P04150,1M2Z
P04156,1E1G
P04278,1D2S
P04406,1U8F
P04626,1MFG
P04629,1HE7
P04637,1A1U
P04798,4I8V
P04818,1HVY
P05067,1AAP
P05091,1CW3
P05106,1JV2
P05108,3N9Y
P05121,1A7C
P05129,2E73
P05164,1CXP
P05177,2HI4
P05186,7YIV
P05556,3G9W
P05771,2I0E
P06213,1GAG
P06239,1BHF
P06241,1A0N
P06401,1A28
P06493,4Y72
P06730,1IPB
P06737,1EM6
P06865,2GJX
P06870,1SPJ
P07101,2XSN
P07332,1WQU
P07333,2I0V
P07900,1BYQ
P07948,1W1F
P07949,2IVS
P08183,6C0V
P08235,1Y9R
P08236,1BHG
P08253,1CK7
P08514,1DPK
P08575,1YGR
P08581,1FYR
P08603,1HAQ
P08631,1AD5
P08709,1BF9
P09038,1BAS
P09086,1HDP
P09417,1HDR
P09619,1GQ5
P09917,3O8Y
P09960,1GW6
P10275,1E3G
P10276,1DKF
P10415,1G5M
P10586,1LAR
P10619,1IVY
P10632,1PQ2
P10635,2F9Q
P10636,1I8H
P10721,1PKG
P10826,1HRA
P10827,1NAV
P10828,1BSX
P11142,3AGY
P11217,1Z8D
P11229,5CXV
P11308,1SXE
P11309,1XQZ
P11362,1AGW
P11388,1ZXM
P11413,1QKI
P11473,1DB1
P11474,1XB7
P11511,3EQM
P11597,2OBD
P11712,1OG2
P11802,2W96
P11940,1CVJ
P12314,3RJD
P12821,1O86
P12931,1A07
P12955,2IW2
P13051,1AKZ
P13497,3EDG
P13569,1XMI
P13612,3V4P
P13631,1EXA
P13716,1E51
P13726,1AHW
P13866,7SL8
P14091,1TZS
P14151,2LGF
P14324,1YQ7
P14416,5AER
P14598,1GD5
P14618,1T5A
P14635,2B9R
P14679,7RK7
P14735,2G47
P14927,5XTE
P15428,2GDZ
P15538,6M7X
P15559,1D4A
P15692,1BJ1
P15735,2Y7J
P16070,1POZ
P16152,1WMA
P16234,1GQ5
P16278,3THC
P16298,4OR9
P16473,2XWT
P16591,2KK6
P17405,5I81
P17612,2GU8
P17655,1KFU
P17706,1L8K
P17707,1I72
P17948,1FLT
P18433,6UZT
P18564,4UM8
P18858,1X9N
P19174,1HSQ
P19320,1IJ9
P19438,1EXT
P19440,4GDX
P19525,1QU6
P19634,1Y4E
P19793,1BY4
P19801,3HI7
P19838,1MDI
P19971,1UOU
P20142,1AVF
P20701,1CQP
P20711,3RBF
P20813,3IBD
P20815,5VEU
P20839,1JCN
P21397,2BXR
P21554,1LVQ
P21583,1EXZ
P21589,4H1S
P21709,2K1K
P21731,8XJN
P21802,1DJS
P21964,3A7E
P21980,1KV3
P22102,1MEJ
P22303,1B41
P22314,4P22
P22455,4QQ5
P22607,1RY7
P22735,2XZZ
P22736,2QW4
P22748,1ZNC
P23141,1MX1
P23219,6Y3C
P23443,3A60
P23469,2JJD
P23526,1A7A
P23946,1KLT
P23975,8HFE
P24468,3CJW
P24530,5GLH
P24666,1XWW
P24723,2FK9
P24855,4AWN
P24864,1W98
P24941,1AQ1
P25021,7UL3
P25101,8HCQ
P25103,2KS9
P25440,1X0J
P25774,1GLO
P26010,2BRQ
P26358,3EPZ
P27338,1GOS
P27361,2ZOQ
P27448,2QNJ
P27815,2QYK
P27986,1A0N
P28062,5L5A
P28074,4R3O
P28223,6A93
P28329,2FY2
P28335,6BQG
P28472,4COF
P28482,1PME
P28702,1H9U
P28715,5EKF
P28907,1YH3
P29317,1MQB
P29320,2GSF
P29322,1UCV
P29323,1B4F
P29350,1FPR
P29375,2JXJ
P29376,7NX0
P29466,1BMQ
P29474,1M9J
P29475,4D1N
P29972,1FQY
P30281,3G33
P30291,1X8B
P30304,1C25
P30305,1CWR
P30307,2OJX
P30411,7F2O
P30419,1RXT
P30518,4JQI
P30530,2C5D
P30542,5N2S
P30874,7T10
P30926,6PV7
P30968,7BR3
P31350,2UW2
P31639,7VSI
P31645,5I6X
P31749,1H10
P31751,1GZK
P31939,1P4R
P31941,2M65
P32239,1L4T
P32418,8JP0
P32929,2NMP
P33260,2CIK
P33316,1Q5H
P33527,2CBZ
P33981,2X9E
P34913,1S8O
P34969,7XTC
P34998,2L27
P35228,1NSI
P35236,1ZC0
P35348,7YM8
P35372,8EF5
P35398,1N83
P35462,3PBL
P35498,7DTD
P35557,1V4S
P35573,8ZEQ
P35610,6L47
P35916,4BSJ
P35968,1VR2
P36544,2MAW
P36888,1RJB
P36896,7MRZ
P36897,1B6C
P37088,2M3O
P37173,1KTZ
P37231,1FM6
P37268,1EZF
P37840,1XQ8
P39748,1U7B
P40337,1LM8
P40763,5AX3
P40818,1WHB
P40925,7RM9
P40926,2DFD
P41145,4DJH
P41146,4EA3
P41180,5FBH
P41229,2JRZ
P41235,1PZL
P41279,4Y83
P41440,7TX6
P41594,3LMK
P41597,2MLO
P42224,1BF5
P42229,7TVA
P42330,1RY0
P42356,6BQ1
P42684,2ECD
P42785,3N2Z
P42892,3DWB
P43003,5LLM
P43004,7VR7
P43088,8IQ4
P43115,6AK3
P43250,2ACX
